"School","Pub.Priv","Year","Ave.Act","Range","Num","Pct"
"Maryville","Private",2006,24,"NA",21,0.068403908794788
"Maryville","Private",2006,24,"Tot",307,1
"Missouri Baptist","Private",2006,21.7,"33.36",0,0
"Missouri Baptist","Private",2006,21.7,"28.32",12,0.061538461538462
"Missouri Baptist","Private",2006,21.7,"24.27",35,0.179487179487179
"Missouri Baptist","Private",2006,21.7,"19.23",74,0.379487179487179
"Missouri Baptist","Private",2006,21.7,"17.18",26,0.133333333333333
"Missouri Baptist","Private",2006,21.7,"01.16",6,0.030769230769231
"Missouri Baptist","Private",2006,21.7,"NA",42,0.215384615384615
"Missouri Baptist","Private",2006,21.7,"Tot",195,1
"Missouri Valley","Private",2006,19.3,"33.36",0,0
"Missouri Valley","Private",2006,19.3,"28.32",5,0.013333333333333
"Missouri Valley","Private",2006,19.3,"24.27",24,0.064
"Missouri Valley","Private",2006,19.3,"19.23",139,0.370666666666667
"Missouri Valley","Private",2006,19.3,"17.18",81,0.216
"Missouri Valley","Private",2006,19.3,"01.16",51,0.136
"Missouri Valley","Private",2006,19.3,"NA",75,0.2
"Missouri Valley","Private",2006,19.3,"Tot",375,1
"Park","Private",2006,22.4,"33.36",0,0
"Park","Private",2006,22.4,"28.32",17,0.087628865979382
"Park","Private",2006,22.4,"24.27",38,0.195876288659794
"Park","Private",2006,22.4,"19.23",62,0.319587628865979
"Park","Private",2006,22.4,"17.18",16,0.082474226804124
"Park","Private",2006,22.4,"01.16",8,0.041237113402062
"Park","Private",2006,22.4,"NA",53,0.27319587628866
"Park","Private",2006,22.4,"Tot",194,1
"Rockhurst","Private",2006,24.5,"33.36",2,0.005050505050505
"Rockhurst","Private",2006,24.5,"28.32",88,0.222222222222222
"Rockhurst","Private",2006,24.5,"24.27",122,0.308080808080808
"Rockhurst","Private",2006,24.5,"19.23",153,0.386363636363636
"Rockhurst","Private",2006,24.5,"17.18",12,0.03030303030303
"Rockhurst","Private",2006,24.5,"01.16",1,0.002525252525253
"Rockhurst","Private",2006,24.5,"NA",18,0.045454545454546
"Rockhurst","Private",2006,24.5,"Tot",396,1
"Saint Louis","Private",2006,26.1,"33.36",33,0.021005728835137
"Saint Louis","Private",2006,26.1,"28.32",469,0.298535964353915
"Saint Louis","Private",2006,26.1,"24.27",547,0.348185868873329
"Saint Louis","Private",2006,26.1,"19.23",291,0.185232336091661
"Saint Louis","Private",2006,26.1,"17.18",21,0.013367281985996
"Saint Louis","Private",2006,26.1,"01.16",0,0
"Saint Louis","Private",2006,26.1,"NA",210,0.133672819859962
"Saint Louis","Private",2006,26.1,"Tot",1571,1
"Southwest Baptist","Private",2006,23.1,"33.36",2,0.004357298474946
"Southwest Baptist","Private",2006,23.1,"28.32",65,0.14161220043573
"Southwest Baptist","Private",2006,23.1,"24.27",134,0.291938997821351
"Southwest Baptist","Private",2006,23.1,"19.23",165,0.359477124183006
"Southwest Baptist","Private",2006,23.1,"17.18",35,0.076252723311547
"Southwest Baptist","Private",2006,23.1,"01.16",30,0.065359477124183
"Southwest Baptist","Private",2006,23.1,"NA",28,0.061002178649238
"Southwest Baptist","Private",2006,23.1,"Tot",459,1
"Stephens","Private",2006,22.4,"33.36",1,0.004444444444444
"Stephens","Private",2006,22.4,"28.32",17,0.075555555555556
"Stephens","Private",2006,22.4,"24.27",50,0.222222222222222
"Stephens","Private",2006,22.4,"19.23",93,0.413333333333333
"Stephens","Private",2006,22.4,"17.18",20,0.088888888888889
"Stephens","Private",2006,22.4,"01.16",7,0.031111111111111
"Stephens","Private",2006,22.4,"NA",37,0.164444444444444
"Stephens","Private",2006,22.4,"Tot",225,1
"Washington","Private",2006,31.6,"33.36",306,0.208163265306122
"Washington","Private",2006,31.6,"28.32",436,0.296598639455782
"Washington","Private",2006,31.6,"24.27",46,0.031292517006803
"Washington","Private",2006,31.6,"19.23",2,0.001360544217687
"Washington","Private",2006,31.6,"17.18",0,0
"Washington","Private",2006,31.6,"01.16",0,0
"Washington","Private",2006,31.6,"NA",680,0.462585034013605
"Washington","Private",2006,31.6,"Tot",1470,1
"Webster","Private",2006,24,"33.36",3,0.006993006993007
"Webster","Private",2006,24,"28.32",69,0.160839160839161
"Webster","Private",2006,24,"24.27",124,0.289044289044289
"Webster","Private",2006,24,"19.23",151,0.351981351981352
"Webster","Private",2006,24,"17.18",25,0.058275058275058
"Webster","Private",2006,24,"01.16",6,0.013986013986014
"Webster","Private",2006,24,"NA",51,0.118881118881119
"Webster","Private",2006,24,"Tot",429,1
"Westminster","Private",2006,24.3,"33.36",2,0.007168458781362
"Westminster","Private",2006,24.3,"28.32",42,0.150537634408602
"Westminster","Private",2006,24.3,"24.27",75,0.268817204301075
"Westminster","Private",2006,24.3,"19.23",88,0.315412186379928
"Westminster","Private",2006,24.3,"17.18",6,0.021505376344086
"Westminster","Private",2006,24.3,"01.16",1,0.003584229390681
"Westminster","Private",2006,24.3,"NA",65,0.232974910394265
"Westminster","Private",2006,24.3,"Tot",279,1
"William Jewell","Private",2006,25,"33.36",5,0.0199203187251
"William Jewell","Private",2006,25,"28.32",65,0.258964143426295
"William Jewell","Private",2006,25,"24.27",81,0.322709163346614
"William Jewell","Private",2006,25,"19.23",87,0.346613545816733
"William Jewell","Private",2006,25,"17.18",6,0.02390438247012
"William Jewell","Private",2006,25,"01.16",0,0
"William Jewell","Private",2006,25,"NA",7,0.02788844621514
"William Jewell","Private",2006,25,"Tot",251,1
"William Woods","Private",2006,22,"33.36",0,0
"William Woods","Private",2006,22,"28.32",12,0.061538461538462
"William Woods","Private",2006,22,"24.27",36,0.184615384615385
"William Woods","Private",2006,22,"19.23",84,0.430769230769231
"William Woods","Private",2006,22,"17.18",27,0.138461538461538
"William Woods","Private",2006,22,"01.16",8,0.041025641025641
"William Woods","Private",2006,22,"NA",28,0.143589743589744
"William Woods","Private",2006,22,"Tot",195,1
"Harris-Stowe","Public",2007,16.0890410958904,"33.36",0,0
"Harris-Stowe","Public",2007,16.0890410958904,"28.32",1,0.002227171492205
"Harris-Stowe","Public",2007,16.0890410958904,"24.27",7,0.015590200445434
"Harris-Stowe","Public",2007,16.0890410958904,"19.23",39,0.086859688195991
"Harris-Stowe","Public",2007,16.0890410958904,"17.18",53,0.11804008908686
"Harris-Stowe","Public",2007,16.0890410958904,"01.16",192,0.427616926503341
"Harris-Stowe","Public",2007,16.0890410958904,"NA",157,0.349665924276169
"Harris-Stowe","Public",2007,16.0890410958904,"Tot",449,1
"Lincoln","Public",2007,17.4036697247706,"33.36",0,0
"Lincoln","Public",2007,17.4036697247706,"28.32",4,0.006600660066007
"Lincoln","Public",2007,17.4036697247706,"24.27",39,0.064356435643564
"Lincoln","Public",2007,17.4036697247706,"19.23",149,0.245874587458746
"Lincoln","Public",2007,17.4036697247706,"17.18",104,0.171617161716172
"Lincoln","Public",2007,17.4036697247706,"01.16",249,0.410891089108911
"Lincoln","Public",2007,17.4036697247706,"NA",61,0.100660066006601
"Lincoln","Public",2007,17.4036697247706,"Tot",606,1
"Missouri Southern","Public",2007,21.8211829436038,"33.36",1,0.001222493887531
"Missouri Southern","Public",2007,21.8211829436038,"28.32",77,0.094132029339853
"Missouri Southern","Public",2007,21.8211829436038,"24.27",152,0.185819070904645
"Missouri Southern","Public",2007,21.8211829436038,"19.23",336,0.410757946210269
"Missouri Southern","Public",2007,21.8211829436038,"17.18",96,0.117359413202934
"Missouri Southern","Public",2007,21.8211829436038,"01.16",65,0.079462102689487
"Missouri Southern","Public",2007,21.8211829436038,"NA",91,0.111246943765281
"Missouri Southern","Public",2007,21.8211829436038,"Tot",818,1
"Missouri State","Public",2007,23.8981233243968,"33.36",19,0.006987863184994
"Missouri State","Public",2007,23.8981233243968,"28.32",466,0.171386539168812
"Missouri State","Public",2007,23.8981233243968,"24.27",816,0.300110334681868
"Missouri State","Public",2007,23.8981233243968,"19.23",1191,0.438028687017286
"Missouri State","Public",2007,23.8981233243968,"17.18",96,0.035307098197867
"Missouri State","Public",2007,23.8981233243968,"01.16",23,0.008458992276572
"Missouri State","Public",2007,23.8981233243968,"NA",108,0.0397204854726
"Missouri State","Public",2007,23.8981233243968,"Tot",2719,1
"Missouri Univ. Of Sci. & Tech.","Public",2007,27.3,"33.36",72,0.069164265129683
"Missouri Univ. Of Sci. & Tech.","Public",2007,27.3,"28.32",376,0.3611911623439
"Missouri Univ. Of Sci. & Tech.","Public",2007,27.3,"24.27",372,0.357348703170029
"Missouri Univ. Of Sci. & Tech.","Public",2007,27.3,"19.23",148,0.142170989433237
"Missouri Univ. Of Sci. & Tech.","Public",2007,27.3,"17.18",10,0.009606147934678
"Missouri Univ. Of Sci. & Tech.","Public",2007,27.3,"01.16",0,0
"Missouri Univ. Of Sci. & Tech.","Public",2007,27.3,"NA",63,0.060518731988473
"Missouri Univ. Of Sci. & Tech.","Public",2007,27.3,"Tot",1041,1
"Missouri Western","Public",2007,19.6747809152872,"33.36",1,0.000909090909091
"Missouri Western","Public",2007,19.6747809152872,"28.32",48,0.043636363636364
