,DriverNumber,LapNumber,Compound,TyreLife,FreshTyre,Stint,Team,Driver,TrackStatus,StartPosition,EndPosition,Points,PitInTimeSeconds,PitOutTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,TotalTime,PitTime,TotalTimeWithPit,TotalTimeWithPitWoop
684,22,36,HARD,15.0,False,4,AlphaTauri,TSU,1,8.0,14.0,0.0,NA,NA,33.812000000000005,29.630000000000003,29.1,92.542,NA,NA,NA
733,7,36,MEDIUM,15.0,False,4,Alfa Romeo Racing,RAI,1,12.0,15.0,0.0,NA,NA,34.260000000000005,29.631,29.191000000000003,93.08200000000001,NA,NA,NA
782,5,36,MEDIUM,21.0,False,3,Aston Martin,VET,1,17.0,16.0,0.0,NA,NA,34.898,30.096000000000004,29.376,94.37,NA,NA,NA
36,44,37,HARD,27.0,False,4,Mercedes,HAM,1,1.0,1.0,26.0,NA,NA,35.253,29.015,32.788000000000004,97.05600000000001,NA,NA,NA
86,33,37,MEDIUM,22.0,True,3,Red Bull Racing,VER,1,3.0,2.0,18.0,NA,NA,34.219,29.16,32.298,95.677,NA,NA,NA
136,77,37,MEDIUM,22.0,False,4,Mercedes,BOT,1,2.0,3.0,15.0,NA,NA,35.085,29.261000000000003,29.093000000000004,93.43900000000001,NA,NA,NA
186,31,37,HARD,24.0,False,3,Alpine,OCO,1,9.0,4.0,12.0,NA,NA,33.666000000000004,29.483,29.451,92.6,NA,NA,NA
236,3,37,MEDIUM,24.0,False,3,McLaren,RIC,1,11.0,5.0,10.0,NA,NA,34.648,29.486,29.203000000000003,93.337,NA,NA,NA
286,10,37,HARD,24.0,False,3,AlphaTauri,GAS,1,6.0,6.0,8.0,NA,NA,33.978,29.78,29.123,92.881,NA,NA,NA
336,16,37,HARD,27.0,False,4,Ferrari,LEC,1,4.0,7.0,6.0,NA,NA,33.883,29.341,28.842000000000002,92.066,NA,NA,NA
386,55,37,MEDIUM,27.0,False,3,Ferrari,SAI,1,15.0,8.0,4.0,NA,NA,34.008,28.996000000000002,28.847,91.851,NA,NA,NA
436,99,37,HARD,24.0,False,3,Alfa Romeo Racing,GIO,1,10.0,9.0,2.0,NA,NA,34.184000000000005,29.517000000000003,29.164,92.86500000000001,NA,NA,NA
486,4,37,HARD,27.0,False,4,McLaren,NOR,1,7.0,10.0,1.0,NA,NA,34.178000000000004,29.578000000000003,29.393,93.149,NA,NA,NA
536,18,37,MEDIUM,22.0,False,4,Aston Martin,STR,1,18.0,11.0,0.0,NA,NA,35.799,29.915000000000003,29.464000000000002,95.178,NA,NA,NA
586,6,37,HARD,25.0,False,4,Williams,LAT,1,16.0,12.0,0.0,NA,NA,34.485,29.707,29.439000000000004,93.63100000000001,NA,NA,NA
636,14,37,HARD,27.0,False,4,Alpine,ALO,1,13.0,13.0,0.0,NA,NA,34.664,29.809,29.297,93.77,NA,NA,NA
685,22,37,HARD,16.0,False,4,AlphaTauri,TSU,1,8.0,14.0,0.0,NA,NA,34.052,29.634,29.183000000000003,92.869,NA,NA,NA
734,7,37,MEDIUM,16.0,False,4,Alfa Romeo Racing,RAI,1,12.0,15.0,0.0,NA,NA,34.524,29.98,29.571,94.075,NA,NA,NA
783,5,37,MEDIUM,22.0,False,3,Aston Martin,VET,1,17.0,16.0,0.0,NA,NA,35.044000000000004,30.052000000000003,29.330000000000002,94.426,NA,NA,NA
37,44,38,HARD,28.0,False,4,Mercedes,HAM,1,1.0,1.0,26.0,NA,NA,34.578,28.882,28.609,92.06900000000002,NA,NA,NA
87,33,38,MEDIUM,23.0,True,3,Red Bull Racing,VER,1,3.0,2.0,18.0,NA,NA,33.966,29.115000000000002,28.602,91.683,NA,NA,NA
137,77,38,MEDIUM,23.0,False,4,Mercedes,BOT,1,2.0,3.0,15.0,NA,NA,34.823,29.243000000000002,29.456000000000003,93.522,NA,NA,NA
187,31,38,HARD,25.0,False,3,Alpine,OCO,1,9.0,4.0,12.0,NA,NA,34.033,29.506,29.128,92.667,NA,NA,NA
237,3,38,MEDIUM,25.0,False,3,McLaren,RIC,1,11.0,5.0,10.0,NA,NA,34.562000000000005,29.642000000000003,29.813000000000002,94.01700000000001,NA,NA,NA
287,10,38,HARD,25.0,False,3,AlphaTauri,GAS,1,6.0,6.0,8.0,NA,NA,34.35,29.721,29.133000000000003,93.20400000000001,NA,NA,NA
337,16,38,HARD,28.0,False,4,Ferrari,LEC,1,4.0,7.0,6.0,NA,NA,34.316,29.459000000000003,28.970000000000002,92.745,NA,NA,NA
387,55,38,MEDIUM,28.0,False,3,Ferrari,SAI,1,15.0,8.0,4.0,NA,NA,33.723,29.451,29.020000000000003,92.194,NA,NA,NA
437,99,38,HARD,25.0,False,3,Alfa Romeo Racing,GIO,1,10.0,9.0,2.0,NA,NA,35.146,29.819000000000003,29.290000000000003,94.25500000000001,NA,NA,NA
487,4,38,HARD,28.0,False,4,McLaren,NOR,1,7.0,10.0,1.0,NA,NA,33.833000000000006,29.534000000000002,29.135,92.50200000000001,NA,NA,NA
537,18,38,MEDIUM,23.0,False,4,Aston Martin,STR,1,18.0,11.0,0.0,NA,NA,34.492000000000004,29.664,29.209000000000003,93.36500000000001,NA,NA,NA
