,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,StartPosition,EndPosition,Points,TimeSeconds,LapTimeSeconds,PitInTimeSeconds,PitOutTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTimeSeconds,TotalTime,PitTime,TotalTimeWithPit,0,TotalTimeWoopWoop
2,0 days 01:06:20.742000,44,0 days 00:01:33.782000,3,NA,NA,0 days 00:00:34.647000,0 days 00:00:29.755000,0 days 00:00:29.380000,0 days 01:05:21.607000,0 days 01:05:51.362000,0 days 01:06:20.742000,279.0,294.0,289.0,295.0,False,MEDIUM,12.0,False,1,0 days 01:04:46.960000,Mercedes,HAM,1,True,2021-12-05 17:36:54.178,1.0,1.0,26.0,3980.742,93.78200000000001,NA,NA,34.647000000000006,29.755000000000003,29.380000000000003,3886.96,93.78200000000001,NA,NA,NA,187.80200000000002
102,0 days 01:06:22.153000,77,0 days 00:01:34.138000,3,NA,NA,0 days 00:00:34.972000,0 days 00:00:29.793000,0 days 00:00:29.373000,0 days 01:05:22.987000,0 days 01:05:52.780000,0 days 01:06:22.153000,282.0,300.0,297.0,301.0,False,MEDIUM,10.0,False,1,0 days 01:04:48.015000,Mercedes,BOT,1,True,2021-12-05 17:36:55.233,2.0,3.0,15.0,3982.1530000000002,94.138,NA,NA,34.972,29.793000000000003,29.373,3888.0150000000003,94.138,NA,NA,NA,188.18600000000004
52,0 days 01:06:23.341000,33,0 days 00:01:34.383000,3,NA,NA,0 days 00:00:35.349000,0 days 00:00:29.733000,0 days 00:00:29.301000,0 days 01:05:24.307000,0 days 01:05:54.040000,0 days 01:06:23.341000,NA,302.0,297.0,307.0,False,MEDIUM,7.0,False,1,0 days 01:04:48.958000,Red Bull Racing,VER,1,True,2021-12-05 17:36:56.176,3.0,2.0,18.0,3983.3410000000003,94.38300000000001,NA,NA,35.349000000000004,29.733,29.301000000000002,3888.958,94.38300000000001,NA,NA,NA,188.721
302,0 days 01:06:25.701000,16,0 days 00:01:34.497000,3,NA,NA,0 days 00:00:35.065000,0 days 00:00:30.071000,0 days 00:00:29.361000,0 days 01:05:26.269000,0 days 01:05:56.340000,0 days 01:06:25.701000,286.0,308.0,293.0,312.0,False,MEDIUM,8.0,False,1,0 days 01:04:51.204000,Ferrari,LEC,1,True,2021-12-05 17:36:58.422,4.0,7.0,6.0,3985.701,94.497,NA,NA,35.065000000000005,30.071,29.361,3891.204,94.49700000000001,NA,NA,NA,189.50300000000001
793,0 days 01:06:26.541000,11,0 days 00:01:34.461000,3,NA,NA,0 days 00:00:35.269000,0 days 00:00:29.795000,0 days 00:00:29.397000,0 days 01:05:27.349000,0 days 01:05:57.144000,0 days 01:06:26.541000,285.0,306.0,305.0,331.0,False,MEDIUM,10.0,False,1,0 days 01:04:52.080000,Red Bull Racing,PER,1,True,2021-12-05 17:36:59.298,5.0,17.0,0.0,3986.541,94.46100000000001,NA,NA,35.269000000000005,29.795,29.397000000000002,3892.0800000000004,94.46100000000001,NA,NA,NA,189.764
452,0 days 01:06:29.334000,4,0 days 00:01:35.600000,3,NA,NA,0 days 00:00:35.690000,0 days 00:00:30.305000,0 days 00:00:29.605000,0 days 01:05:29.424000,0 days 01:05:59.729000,0 days 01:06:29.334000,278.0,299.0,295.0,298.0,False,SOFT,7.0,False,1,0 days 01:04:53.734000,McLaren,NOR,1,True,2021-12-05 17:37:00.952,7.0,10.0,1.0,3989.3340000000003,95.60000000000001,NA,NA,35.690000000000005,30.305000000000003,29.605,3893.7340000000004,95.60000000000001,NA,NA,NA,191.467
152,0 days 01:06:30.768000,31,0 days 00:01:35.655000,3,NA,NA,0 days 00:00:35.602000,0 days 00:00:30.395000,0 days 00:00:29.658000,0 days 01:05:30.715000,0 days 01:06:01.110000,0 days 01:06:30.768000,NA,302.0,293.0,305.0,False,MEDIUM,10.0,False,1,0 days 01:04:55.113000,Alpine,OCO,1,True,2021-12-05 17:37:02.331,9.0,4.0,12.0,3990.768,95.655,NA,NA,35.602000000000004,30.395000000000003,29.658,3895.1130000000003,95.65500000000002,NA,NA,NA,191.863
252,0 days 01:06:31.994000,10,0 days 00:01:35.872000,3,NA,NA,0 days 00:00:35.867000,0 days 00:00:30.327000,0 days 00:00:29.678000,0 days 01:05:31.989000,0 days 01:06:02.316000,0 days 01:06:31.994000,NA,300.0,292.0,303.0,False,MEDIUM,10.0,False,1,0 days 01:04:56.122000,AlphaTauri,GAS,1,True,2021-12-05 17:37:03.340,6.0,6.0,8.0,3991.994,95.872,NA,NA,35.867000000000004,30.327,29.678,3896.1220000000003,95.872,NA,NA,NA,192.364
602,0 days 01:06:34.269000,14,0 days 00:01:36.275000,3,NA,NA,0 days 00:00:36.009000,0 days 00:00:30.492000,0 days 00:00:29.774000,0 days 01:05:34.003000,0 days 01:06:04.495000,0 days 01:06:34.269000,276.0,300.0,292.0,305.0,False,MEDIUM,3.0,True,1,0 days 01:04:57.994000,Alpine,ALO,1,True,2021-12-05 17:37:05.212,13.0,13.0,0.0,3994.2690000000002,96.275,NA,NA,36.009,30.492,29.774,3897.994,96.275,NA,NA,NA,192.65
202,0 days 01:06:32.957000,3,0 days 00:01:35.879000,3,NA,NA,0 days 00:00:35.897000,0 days 00:00:30.157000,0 days 00:00:29.825000,0 days 01:05:32.975000,0 days 01:06:03.132000,0 days 01:06:32.957000,NA,310.0,300.0,309.0,False,HARD,3.0,True,1,0 days 01:04:57.078000,McLaren,RIC,1,True,2021-12-05 17:37:04.296,11.0,5.0,10.0,3992.9570000000003,95.879,NA,NA,35.897000000000006,30.157000000000004,29.825000000000003,3897.0780000000004,95.879,NA,NA,NA,193.06600000000003
